City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
0,Castro,BR,-24.7911,-50.0119,76.33,50,0,6.15,clear sky
1,Hirado,JP,33.3597,129.5531,46.0,93,8,4.0,clear sky
2,Tupanatinga,BR,-8.7533,-37.3397,95.11,15,10,11.1,clear sky
3,Westport,US,41.1415,-73.3579,44.6,39,40,20.71,scattered clouds
4,Tiksi,RU,71.6872,128.8694,-25.46,86,100,5.97,overcast clouds
5,Mataura,NZ,-46.1927,168.8643,52.38,90,5,1.79,clear sky
6,Albany,US,42.6001,-73.9662,39.0,59,75,12.66,broken clouds
7,Coihaique,CL,-45.5752,-72.0662,73.4,38,75,6.91,broken clouds
8,Hermanus,ZA,-34.4187,19.2345,70.0,85,92,1.01,overcast clouds
9,Ilulissat,GL,69.2167,-51.1,21.2,38,40,20.71,snow
10,Ikalamavony,MG,-21.15,46.5833,71.26,82,100,1.48,light rain
11,Barao De Melgaco,BR,-16.1944,-55.9675,89.6,48,75,3.44,broken clouds
12,Busselton,AU,-33.65,115.3333,59.0,95,100,1.99,light rain
13,Upernavik,GL,72.7868,-56.1549,19.96,80,100,4.99,overcast clouds
14,Maragogi,BR,-9.0122,-35.2225,82.89,66,85,12.86,overcast clouds
15,Thompson,CA,55.7435,-97.8558,-31.0,61,75,14.97,snow
16,Port Elizabeth,ZA,-33.918,25.5701,69.8,94,90,10.36,overcast clouds
17,Qaanaaq,GL,77.484,-69.3632,12.16,89,100,7.63,overcast clouds
18,Rikitea,PF,-23.1203,-134.9692,77.65,74,100,12.37,overcast clouds
19,Jamestown,US,42.097,-79.2353,21.99,53,1,20.71,clear sky
20,Kapaa,US,22.0752,-159.319,62.01,88,1,6.91,clear sky
21,Rio Gallegos,AR,-51.6226,-69.2181,62.6,27,20,11.5,few clouds
22,Ushuaia,AR,-54.8,-68.3,53.6,62,20,23.02,few clouds
23,Bluff,NZ,-46.6,168.3333,53.69,84,10,4.61,clear sky
24,Coquimbo,CL,-29.9533,-71.3436,68.0,64,20,10.36,few clouds
25,Susanville,US,40.4163,-120.653,39.0,69,1,0.94,clear sky
26,Dzerzhinsk,RU,56.2389,43.4631,-2.0,71,75,11.18,light snow
27,Victoria,HK,22.2855,114.1577,66.0,73,0,3.96,clear sky
28,Jacksonville,US,30.3322,-81.6556,55.0,82,90,10.36,overcast clouds
29,Butaritari,KI,3.0707,172.7902,81.03,80,89,21.12,light rain
30,Huilong,CN,31.8111,121.655,53.01,89,0,6.35,clear sky
