City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
0,Castro,BR,76.33,clear sky,-24.7911,-50.0119,CHACARA BAILLY
11,Barao De Melgaco,BR,89.6,broken clouds,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
14,Maragogi,BR,82.89,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
18,Rikitea,PF,77.65,overcast clouds,-23.1203,-134.9692,Pension Maro'i
29,Butaritari,KI,81.03,light rain,3.0707,172.7902,Isles Sunset Lodge
31,Atuona,PF,80.11,overcast clouds,-9.8,-139.0333,Villa Enata
34,Caravelas,BR,83.12,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
39,Saint-Pierre,RE,79.0,broken clouds,-21.3393,55.4781,Lindsey Hôtel
42,Bahia Blanca,AR,85.82,clear sky,-38.7196,-62.2724,Hotel Argos
43,Bambous Virieux,MU,80.01,scattered clouds,-20.3428,57.7575,Casa Tia Villa
45,Belmonte,BR,86.0,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
48,Vao,NC,77.45,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
52,Carnarvon,AU,80.6,clear sky,-24.8667,113.6333,Hospitality Carnarvon
54,Gunjur,GM,78.8,overcast clouds,13.2019,-16.7339,Kuba Lodge
59,Takoradi,GH,80.62,clear sky,4.8845,-1.7554,Raybow International Hotel
61,Hithadhoo,MV,81.45,few clouds,-0.6,73.0833,Scoop Guest House
63,Lorengau,PG,81.75,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
68,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
74,Vanimo,PG,76.87,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
77,Saint-Philippe,RE,79.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
78,Kavieng,PG,81.63,broken clouds,-2.5744,150.7967,Nusa Island Retreat
80,Hobyo,SO,77.56,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
85,Hatillo,PR,88.0,scattered clouds,18.4863,-66.8254,Hotel Parador El Buen Cafe
87,Puerto Ayora,EC,80.6,broken clouds,-0.7393,-90.3518,Castillo Galapagos
94,Labelle,US,86.0,broken clouds,26.7617,-81.4384,Port LaBelle Inn
95,General Roca,AR,82.4,clear sky,-39.0333,-67.5833,Hotel El Recreo
100,Cururupu,BR,86.97,overcast clouds,-1.8283,-44.8683,Pousada Través'cia
104,Oussouye,SN,78.8,clear sky,12.485,-16.5469,Auberge du Routard
106,Maceio,BR,89.6,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
112,Cabo San Lucas,MX,80.01,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
115,Mahebourg,MU,78.8,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
132,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
134,Chuy,UY,83.3,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
135,Itarema,BR,85.15,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
137,Catuday,PH,77.45,clear sky,16.2923,119.8062,GResort
141,Vaitape,PF,81.34,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
144,Tual,ID,83.89,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
147,Hortolandia,BR,86.0,light rain,-22.8583,-47.22,Druds Hotel Hortolândia
153,Santa Maria,BR,78.8,few clouds,-29.6842,-53.8069,Hotel Morotin
155,Neuquen,AR,82.4,clear sky,-38.9516,-68.0591,Hotel del Comahue
156,Georgetown,MY,82.99,few clouds,5.4112,100.3354,Cititel Penang
157,Avarua,CK,80.6,few clouds,-21.2078,-159.775,Paradise Inn
158,Siocon,PH,77.4,overcast clouds,7.7061,122.1353,ABS Hotel
162,Paita,PE,87.8,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
168,Kununurra,AU,80.6,broken clouds,-15.7667,128.7333,Hotel Kununurra
176,Viedma,AR,78.01,clear sky,-40.8135,-62.9967,Hotel Cristal
177,Bengkulu,ID,76.37,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
178,Acarau,BR,85.53,overcast clouds,-2.8856,-40.12,castelo pizzaria
179,Liku,ID,75.24,overcast clouds,-0.7275,119.8922,Agoes Liverpool
183,Bodden Town,KY,86.0,scattered clouds,19.2833,-81.25,Will T Place
186,Melchor De Mencos,GT,86.0,clear sky,17.0686,-89.1522,Xultun Farm
188,Karratha,AU,78.17,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
192,Sola,VU,75.2,few clouds,-13.8833,167.55,Leumerus Bungalows
193,Sabang,ID,81.27,light rain,5.8933,95.3214,Hotel Citra
196,Kloulklubed,PW,78.8,broken clouds,7.0419,134.2556,Storyboard Beach Resort
200,Bonito,BR,82.53,clear sky,-21.1211,-56.4819,Marruá Hotel
202,Faanui,PF,81.28,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
204,San Andres,CO,86.0,few clouds,12.5847,-81.7006,Hotel Arena Blanca
205,Cerqueira Cesar,BR,78.49,scattered clouds,-23.0356,-49.1661,Pousada São Jorge
215,Indramayu,ID,78.55,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
218,Mlonggo,ID,78.84,broken clouds,-6.5333,110.7,Asia Metal Art
222,Omboue,GA,79.48,moderate rain,-1.5746,9.2618,Hotel Olako
223,Quelimane,MZ,86.0,scattered clouds,-17.8786,36.8883,Hotel Flamingo
224,Cidreira,BR,76.91,few clouds,-30.1811,-50.2056,Hotel Castelo
