City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Qaanaaq,77.484,-69.3632,-21.48,68,79,2.55,GL,2021-02-03 18:45:11
1,Rikitea,-23.1203,-134.9692,77.92,72,19,13.44,PF,2021-02-03 18:45:11
2,Albany,42.6001,-73.9662,33.01,68,100,8.99,US,2021-02-03 18:45:11
3,Jaguey Grande,22.5269,-81.1286,69.8,52,40,9.22,CU,2021-02-03 18:45:11
4,Umm Bab,25.2142,50.8072,64.99,63,1,6.91,QA,2021-02-03 18:45:11
5,Punta Arenas,-53.15,-70.9167,60.8,59,75,13.8,CL,2021-02-03 18:41:10
6,Kolobrzeg,54.1757,15.5834,30.99,10,100,23.71,PL,2021-02-03 18:45:11
7,Waconia,44.8508,-93.7869,32.0,76,94,15.99,US,2021-02-03 18:45:12
8,Adrar,20.5022,-10.0711,70.43,22,0,3.2,MR,2021-02-03 18:45:12
9,Hadejia,12.4498,10.0444,76.12,17,0,10.27,NG,2021-02-03 18:40:20
10,Chokurdakh,70.6333,147.9167,1.72,93,100,9.31,RU,2021-02-03 18:45:12
11,Nemuro,43.3236,145.575,14.34,87,7,21.14,JP,2021-02-03 18:43:23
12,Ushuaia,-54.8,-68.3,55.4,58,20,24.16,AR,2021-02-03 18:45:06
13,Mar Del Plata,-38.0023,-57.5575,71.6,68,40,12.66,AR,2021-02-03 18:42:24
14,Yellowknife,62.456,-114.3525,-15.0,69,90,8.05,CA,2021-02-03 18:45:12
15,Olafsvik,64.8945,-23.7142,36.86,79,100,25.12,IS,2021-02-03 18:45:12
16,Broken Hill,-31.95,141.4333,71.6,28,100,9.22,AU,2021-02-03 18:45:12
17,Dong Xoai,11.5333,106.9167,68.38,74,88,4.65,VN,2021-02-03 18:45:12
18,Tuktoyaktuk,69.4541,-133.0374,-41.8,66,20,3.44,CA,2021-02-03 18:45:13
19,Cape Town,-33.9258,18.4232,71.01,73,0,16.11,ZA,2021-02-03 18:43:22
20,Hilo,19.7297,-155.09,70.0,68,1,9.22,US,2021-02-03 18:45:13
21,Tasiilaq,65.6145,-37.6368,28.33,97,83,26.37,GL,2021-02-03 18:45:13
22,Fereydunshahr,32.941,50.121,27.39,69,0,3.38,IR,2021-02-03 18:45:13
23,Vila Franca Do Campo,37.7167,-25.4333,53.6,66,20,14.97,PT,2021-02-03 18:45:13
24,Cherskiy,68.75,161.3,9.27,87,100,7.11,RU,2021-02-03 18:45:13
25,Cockburn Town,21.4612,-71.1419,75.2,57,40,9.22,TC,2021-02-03 18:45:13
26,Mahebourg,-20.4081,57.7,80.6,83,40,9.22,MU,2021-02-03 18:45:13
27,Korla,41.7597,86.1469,25.9,84,0,2.42,CN,2021-02-03 18:45:13
28,Dingle,10.9995,122.6711,73.89,92,63,7.63,PH,2021-02-03 18:45:13
29,Daru,-9.0763,143.2092,77.72,87,97,10.94,PG,2021-02-03 18:45:13
30,Caravelas,-17.7125,-39.2481,83.34,63,14,10.65,BR,2021-02-03 18:45:14
31,New Norfolk,-42.7826,147.0587,57.99,89,96,1.12,AU,2021-02-03 18:45:14
32,Puerto Ayora,-0.7393,-90.3518,84.2,70,0,18.41,EC,2021-02-03 18:45:14
33,Port Hedland,-20.3167,118.5667,80.6,83,100,5.75,AU,2021-02-03 18:45:14
34,Souillac,-20.5167,57.5167,80.6,83,40,9.22,MU,2021-02-03 18:45:14
35,Mandalgovi,45.7625,106.2708,10.92,77,0,16.87,MN,2021-02-03 18:45:14
36,Point Pedro,9.8167,80.2333,76.95,75,100,13.91,LK,2021-02-03 18:45:14
37,Inuvik,68.3499,-133.7218,-36.4,67,98,0.89,CA,2021-02-03 18:45:14
38,Quatre Cocos,-20.2078,57.7625,80.6,83,40,9.22,MU,2021-02-03 18:45:14
39,Ribeira Grande,38.5167,-28.7,55.4,62,40,21.85,PT,2021-02-03 18:45:14
40,Mataura,-46.1927,168.8643,47.89,81,61,3.24,NZ,2021-02-03 18:45:04
41,Zyryanka,65.75,150.85,-22.34,86,97,11.68,RU,2021-02-03 18:45:14
42,Hobart,-42.8794,147.3294,57.99,94,90,5.75,AU,2021-02-03 18:41:31
43,Ialibu,-6.2821,143.9935,57.72,99,100,2.26,PG,2021-02-03 18:45:15
44,Atuona,-9.8,-139.0333,77.47,76,1,13.56,PF,2021-02-03 18:45:10
45,Bredasdorp,-34.5322,20.0403,68.0,68,0,4.61,ZA,2021-02-03 18:45:15
46,Nouadhibou,20.931,-17.0347,66.2,82,0,18.41,MR,2021-02-03 18:45:15
47,Barreirinhas,-2.7469,-42.8264,84.99,63,0,9.37,BR,2021-02-03 18:43:09
48,Khatanga,71.9667,102.5,-5.35,91,99,9.33,RU,2021-02-03 18:45:15
49,Busselton,-33.65,115.3333,53.01,76,0,17.02,AU,2021-02-03 18:45:15
50,Torbay,47.6666,-52.7314,37.99,100,90,26.46,CA,2021-02-03 18:45:15
51,Champerico,14.3,-91.9167,89.6,55,20,9.22,GT,2021-02-03 18:45:16
52,Ahipara,-35.1667,173.1667,60.84,80,100,3.58,NZ,2021-02-03 18:45:16
53,Stafford,52.8052,-2.1164,42.01,48,81,1.01,GB,2021-02-03 18:44:22
54,Kapaa,22.0752,-159.319,66.2,94,90,6.91,US,2021-02-03 18:45:16
55,Hirara,24.8,125.2833,65.48,65,32,11.18,JP,2021-02-03 18:45:16
56,Saint George,37.1041,-113.5841,63.0,66,1,6.91,US,2021-02-03 18:42:12
57,Bjornevatn,69.6672,29.9847,26.6,86,75,17.27,NO,2021-02-03 18:45:16
58,Hermanus,-34.4187,19.2345,68.0,79,6,4.23,ZA,2021-02-03 18:45:16
59,Saint-Philippe,-21.3585,55.7679,80.6,74,0,1.14,RE,2021-02-03 18:45:16
60,Taltal,-25.4,-70.4833,71.67,57,65,7.25,CL,2021-02-03 18:45:16
61,Thompson,55.7435,-97.8558,5.0,78,90,14.97,CA,2021-02-03 18:42:41
62,Isla Vista,34.4133,-119.861,64.0,88,40,5.75,US,2021-02-03 18:45:17
63,Barrow,71.2906,-156.7887,-27.4,68,1,14.97,US,2021-02-03 18:45:17
64,Killybegs,54.6333,-8.45,44.6,93,90,13.8,IE,2021-02-03 18:45:17
